"","siteID","year","season","total_count_per_100_trapnight","richness","domain_id","site_name","site_type","latitude","longitude","mean_elevation_m","minimum_elevation_m","maximum_elevation_m","mean_annual_temperature_C","mean_annual_precipitation_mm","dominant_wind_direction","mean_canopy_height_m","dominant_nlcd_classes","domint_plant_species","usgs_geology_unit","megapit_soil_family","soil_subgroup","avg_number_of_green_days","avg_green_max_doy"
"11","BARR","2019","spring",1.16666666666667,1,"D18","Utqiaġvik NEON","Relocatable Terrestrial",71.28241,-156.61936,4,0,13,-12,105,"E","0.3","Emergent Herbaceous Wetlands","Carex aquatilis (water sedge)|Dupontia fisheri (Fisher's tundragrass)|Petasites frigidus (Arctic sweet coltsfoot)","A003.BW002_114","","Typic Histoturbels",45,"195"
"12","BARR","2019","summer",1.45833333333333,1,"D18","Utqiaġvik NEON","Relocatable Terrestrial",71.28241,-156.61936,4,0,13,-12,105,"E","0.3","Emergent Herbaceous Wetlands","Carex aquatilis (water sedge)|Dupontia fisheri (Fisher's tundragrass)|Petasites frigidus (Arctic sweet coltsfoot)","A003.BW002_114","","Typic Histoturbels",45,"195"
"13","BART","2014","fall",19.8377050954036,8,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"14","BART","2014","spring",11.8140310618831,8,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"15","BART","2014","summer",19.7093712679047,7,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"16","BART","2015","fall",8.71666666666667,5,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"17","BART","2015","spring",5.66057585825028,5,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"18","BART","2015","summer",16.2262626262626,9,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"19","BART","2016","fall",19.9166666666667,7,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"20","BART","2016","spring",12.3,6,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"21","BART","2016","summer",30.9162861010037,8,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"22","BART","2017","spring",10.2819444444444,9,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"23","BART","2017","summer",12.5953342953343,7,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"24","BART","2018","spring",7.13888888888889,8,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"25","BART","2018","summer",30.0759803921569,10,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"26","BART","2019","spring",7.48333333333333,5,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"27","BART","2019","summer",13.6428571428571,8,"D01","Bartlett Experimental Forest NEON","Relocatable Terrestrial",44.063889,-71.287375,274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)","NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"170"
"28","BLAN","2015","fall",6.5,4,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"29","BLAN","2015","spring",8.82004429678848,3,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"30","BLAN","2015","summer",9.22222222222222,5,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"31","BLAN","2016","spring",6.64868900238564,4,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"32","BLAN","2016","summer",8.29444444444444,3,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"33","BLAN","2017","spring",8.77777777777778,7,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"34","BLAN","2017","summer",9.66666666666667,8,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"35","BLAN","2017","winter",4.91666666666667,4,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"36","BLAN","2018","spring",7.38888888888889,3,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"37","BLAN","2018","summer",14.7777777777778,4,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"38","BLAN","2019","spring",15.3055555555556,6,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"39","BLAN","2019","summer",24.9889273868751,6,"D02","Blandy Experimental Farm NEON","Relocatable Terrestrial",39.033698,-78.041788,183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"150"
"40","BONA","2017","spring",5.75,4,"D19","Caribou-Poker Creeks Research Watershed NEON","Core Terrestrial",65.15401,-147.50258,230,212,728,-3,262,"W","8","Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands","Picea maria (black spruce)|Populus tremuloides (quaking aspen)|Alnus viridis (green alder) ","A003.LG002_114|E191.LG002_930","Coarse-silty, mixed, superactive, subgelic.  Typic Histoturbels.","Typic Histoturbels",115,"180"
"41","BONA","2017","summer",20.8132957957105,6,"D19","Caribou-Poker Creeks Research Watershed NEON","Core Terrestrial",65.15401,-147.50258,230,212,728,-3,262,"W","8","Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands","Picea maria (black spruce)|Populus tremuloides (quaking aspen)|Alnus viridis (green alder) ","A003.LG002_114|E191.LG002_930","Coarse-silty, mixed, superactive, subgelic.  Typic Histoturbels.","Typic Histoturbels",115,"180"
"42","BONA","2018","summer",19.9785995763755,6,"D19","Caribou-Poker Creeks Research Watershed NEON","Core Terrestrial",65.15401,-147.50258,230,212,728,-3,262,"W","8","Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands","Picea maria (black spruce)|Populus tremuloides (quaking aspen)|Alnus viridis (green alder) ","A003.LG002_114|E191.LG002_930","Coarse-silty, mixed, superactive, subgelic.  Typic Histoturbels.","Typic Histoturbels",115,"180"
"43","BONA","2019","summer",13.4978423513694,6,"D19","Caribou-Poker Creeks Research Watershed NEON","Core Terrestrial",65.15401,-147.50258,230,212,728,-3,262,"W","8","Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands","Picea maria (black spruce)|Populus tremuloides (quaking aspen)|Alnus viridis (green alder) ","A003.LG002_114|E191.LG002_930","Coarse-silty, mixed, superactive, subgelic.  Typic Histoturbels.","Typic Histoturbels",115,"180"
"44","CLBJ","2016","fall",7.33333333333333,7,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"45","CLBJ","2016","summer",15.3701843742067,8,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"46","CLBJ","2017","fall",17.8222222222222,10,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"47","CLBJ","2017","spring",28.500161992487,9,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"48","CLBJ","2017","summer",14.6238095238095,7,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"49","CLBJ","2017","winter",22.4416666666667,7,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"50","CLBJ","2018","fall",5.66666666666667,4,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"51","CLBJ","2018","spring",13.588274005972,11,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"52","CLBJ","2018","summer",8.54166666666667,6,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"53","CLBJ","2018","winter",18.4055555555556,9,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"54","CLBJ","2019","fall",2,2,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"55","CLBJ","2019","spring",6.26851851851852,6,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"56","CLBJ","2019","summer",3.33333333333333,4,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"57","CLBJ","2019","winter",6.91666666666667,6,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial",33.40123,-97.57,272,258,343,17.5,926,"S","13","Deciduous Forest|Grassland/Herbaceous","Quercus stellata (post oak)|Quercus marilandica (blackjack oak)","TXKa;0","","Udic Paleustalfs",260,"135|230"
"58","CPER","2013","summer",2.33333333333333,3,"D10","Central Plains Experimental Range NEON","Core Terrestrial",40.815536,-104.74559,1654,1601,1686,8.6,344,"NW","0.4","Grassland/Herbaceous","Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread)","COKl;0","Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.","Aridic Argiustolls",260,"165"
"59","CPER","2014","spring",4.84179894179894,8,"D10","Central Plains Experimental Range NEON","Core Terrestrial",40.815536,-104.74559,1654,1601,1686,8.6,344,"NW","0.4","Grassland/Herbaceous","Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread)","COKl;0","Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.","Aridic Argiustolls",260,"165"
"60","CPER","2014","summer",7.55611111111111,10,"D10","Central Plains Experimental Range NEON","Core Terrestrial",40.815536,-104.74559,1654,1601,1686,8.6,344,"NW","0.4","Grassland/Herbaceous","Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread)","COKl;0","Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.","Aridic Argiustolls",260,"165"
"61","CPER","2015","fall",14.9079365079365,10,"D10","Central Plains Experimental Range NEON","Core Terrestrial",40.815536,-104.74559,1654,1601,1686,8.6,344,"NW","0.4","Grassland/Herbaceous","Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread)","COKl;0","Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.","Aridic Argiustolls",260,"165"
"62","CPER","2015","spring",15.9310733384263,11,"D10","Central Plains Experimental Range NEON","Core Terrestrial",40.815536,-104.74559,1654,1601,1686,8.6,344,"NW","0.4","Grassland/Herbaceous","Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread)","COKl;0","Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.","Aridic Argiustolls",260,"165"
"63","CPER","2015","summer",16.4619298686352,9,"D10","Central Plains Experimental Range NEON","Core Terrestrial",40.815536,-104.74559,1654,1601,1686,8.6,344,"NW","0.4","Grassland/Herbaceous","Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread)","COKl;0","Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.","Aridic Argiustolls",260,"165"
"64","CPER","2016","fall",5.08333333333333,6,"D10","Central Plains Experimental Range NEON","Core Terrestrial",40.815536,-104.74559,1654,1601,1686,8.6,344,"NW","0.4","Grassland/Herbaceous","Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread)","COKl;0","Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.","Aridic Argiustolls",260,"165"
"65","CPER","2016","spring",33.539039039039,10,"D10","Central Plains Experimental Range NEON","Core Terrestrial",40.815536,-104.74559,1654,1601,1686,8.6,344,"NW","0.4","Grassland/Herbaceous","Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread)","COKl;0","Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.","Aridic Argiustolls",260,"165"
"66","CPER","2016","summer",6.38888888888889,7,"D10","Central Plains Experimental Range NEON","Core Terrestrial",40.815536,-104.74559,1654,1601,1686,8.6,344,"NW","0.4","Grassland/Herbaceous","Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread)","COKl;0","Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.","Aridic Argiustolls",260,"165"
"67","CPER","2017","spring",5.41666666666667,6,"D10","Central Plains Experimental Range NEON","Core Terrestrial",40.815536,-104.74559,1654,1601,1686,8.6,344,"NW","0.4","Grassland/Herbaceous","Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread)","COKl;0","Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.","Aridic Argiustolls",260,"165"
"68","CPER","2017","summer",3.66666666666667,4,"D10","Central Plains Experimental Range NEON","Core Terrestrial",40.815536,-104.74559,1654,1601,1686,8.6,344,"NW","0.4","Grassland/Herbaceous","Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread)","COKl;0","Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.","Aridic Argiustolls",260,"165"
